setting	seed	status	best_val_combined_auc	test_ctr_auc	test_cvr_auc	test_combined_auc	best_ckpt_test_ctcvr_auc	log_file
01_share_bottom	42	OK	0.336	0.618229329586029	0.6507570147514343	0.402317076921463	0.402317076921463	/work/home/maben/project/rec_sys/projects/multi_task_ranking/experiments/eight_settings_dualnode/logs/nodeA_p1_20260401_023144/01_share_bottom_s42.log
01_share_bottom	2027	OK	0.346	0.6180083751678467	0.6511574387550354	0.4024207592010498	0.4024207592010498	/work/home/maben/project/rec_sys/projects/multi_task_ranking/experiments/eight_settings_dualnode/logs/nodeA_p1_20260401_023144/01_share_bottom_s2027.log
02_mmoe	42	OK	0.341	0.6123086810112	0.6370506882667542	0.39007166028022766	0.39007166028022766	/work/home/maben/project/rec_sys/projects/multi_task_ranking/experiments/eight_settings_dualnode/logs/nodeA_p1_20260401_023144/02_mmoe_s42.log
02_mmoe	2027	OK	0.352	0.617218554019928	0.6509414911270142	0.4017731547355652	0.4017731547355652	/work/home/maben/project/rec_sys/projects/multi_task_ranking/experiments/eight_settings_dualnode/logs/nodeA_p1_20260401_023144/02_mmoe_s2027.log
03_mmoe_entropy	42	OK	0.339	0.6177952289581299	0.6546592712402344	0.4044453799724579	0.4044453799724579	/work/home/maben/project/rec_sys/projects/multi_task_ranking/experiments/eight_settings_dualnode/logs/nodeA_p1_20260401_023144/03_mmoe_entropy_s42.log
03_mmoe_entropy	2027	OK	0.351	0.6174439191818237	0.6623526811599731	0.4089656472206116	0.4089656472206116	/work/home/maben/project/rec_sys/projects/multi_task_ranking/experiments/eight_settings_dualnode/logs/nodeA_p1_20260401_023144/03_mmoe_entropy_s2027.log
04_mmoe_entropy_upgrad_all	42	OK	0.333	0.6156274080276489	0.6480650901794434	0.39896664023399353	0.39896664023399353	/work/home/maben/project/rec_sys/projects/multi_task_ranking/experiments/eight_settings_dualnode/logs/nodeB_p2_20260401_023144/04_mmoe_entropy_upgrad_all_s42.log
04_mmoe_entropy_upgrad_all	2027	OK	0.352	0.6162751913070679	0.6569212675094604	0.4048442840576172	0.4048442840576172	/work/home/maben/project/rec_sys/projects/multi_task_ranking/experiments/eight_settings_dualnode/logs/nodeB_p2_20260401_023144/04_mmoe_entropy_upgrad_all_s2027.log
05_mmoe_entropy_upgrad_on10	42	OK	0.331	0.6162149310112	0.6457397937774658	0.39791449904441833	0.39791449904441833	/work/home/maben/project/rec_sys/projects/multi_task_ranking/experiments/eight_settings_dualnode/logs/nodeB_p2_20260401_023144/05_mmoe_entropy_upgrad_on10_s42.log
05_mmoe_entropy_upgrad_on10	2027	OK	0.344	0.6158031821250916	0.6369050741195679	0.39220815896987915	0.39220815896987915	/work/home/maben/project/rec_sys/projects/multi_task_ranking/experiments/eight_settings_dualnode/logs/nodeB_p2_20260401_023144/05_mmoe_entropy_upgrad_on10_s2027.log
06_mmoe_entropy_asym_all	42	OK	0.344	0.617626428604126	0.6544644236564636	0.4042145311832428	0.4042145311832428	/work/home/maben/project/rec_sys/projects/multi_task_ranking/experiments/eight_settings_dualnode/logs/nodeB_p2_20260401_023144/06_mmoe_entropy_asym_all_s42.log
07_mmoe_entropy_asym_on10	42	OK	0.344	0.6179442405700684	0.655886173248291	0.4053010940551758	0.4053010940551758	/work/home/maben/project/rec_sys/projects/multi_task_ranking/experiments/eight_settings_dualnode/logs/nodeC_p3_20260401_023249/07_mmoe_entropy_asym_on10_s42.log
07_mmoe_entropy_asym_on10	2027	OK	0.355	0.6178047060966492	0.6559765338897705	0.4052653908729553	0.4052653908729553	/work/home/maben/project/rec_sys/projects/multi_task_ranking/experiments/eight_settings_dualnode/logs/nodeC_p3_20260401_023249/07_mmoe_entropy_asym_on10_s2027.log
08_mmoe_entropy_asym_on10_restore_norm	42	OK	0.346	0.6182337999343872	0.6533135771751404	0.40390053391456604	0.40390053391456604	/work/home/maben/project/rec_sys/projects/multi_task_ranking/experiments/eight_settings_dualnode/logs/nodeC_p3_20260401_023249/08_mmoe_entropy_asym_on10_restore_norm_s42.log
08_mmoe_entropy_asym_on10_restore_norm	2027	OK	0.361	0.6171654462814331	0.6603438854217529	0.407541424036026	0.407541424036026	/work/home/maben/project/rec_sys/projects/multi_task_ranking/experiments/eight_settings_dualnode/logs/nodeC_p3_20260401_023249/08_mmoe_entropy_asym_on10_restore_norm_s2027.log
